"","x"
"226",3
"3493",3
"1054",2
"780",3
"6927",1
"5047",3
"6737",3
"7677",3
"3072",2
"723",3
"8107",1
"4397",1
"542",3
"2660",3
"414",3
"5147",3
"211",1
"1740",3
"1957",1
"4588",3
"3563",1
"5034",2
"2349",3
"3822",1
"3838",1
"7952",2
"1913",3
"2677",3
"1092",2
"5506",1
"3923",2
"2101",3
"813",3
"6615",3
"1761",3
"1919",3
"7394",2
"5716",3
"158",1
"1261",2
"3812",3
"4414",3
"4561",3
"4283",1
"7695",3
"3014",3
"235",2
"4225",2
"4651",3
"5550",3
"7198",3
"1757",2
"8007",3
"6851",1
"7868",3
"703",3
"4565",1
"5648",3
"5491",3
"5487",3
"2518",3
"1090",3
"3721",3
"2254",3
"7880",2
"1828",2
"1106",3
"1206",1
"418",3
"6938",3
"6778",3
"160",2
"6683",2
"6660",3
"402",3
"2793",2
"3953",3
"7815",3
"356",3
"4807",3
"4619",1
"3607",3
"7134",3
"921",1
"1466",1
"5427",3
"3582",3
"3723",3
"5875",3
"3699",2
"6488",3
"1515",2
"6662",3
"4511",3
"4295",1
"3616",2
"223",3
"7623",1
"3233",3
"24",3
"2719",3
"6840",2
"4057",3
"4501",3
"6858",1
"5501",1
"5194",2
"3590",3
"5396",3
"3512",3
"2029",3
"3104",1
"4402",3
"8078",3
"7174",3
"2224",1
"307",3
"5268",3
"3633",1
"1607",3
"65",3
"7726",2
"3156",2
"2803",3
"1310",2
"2919",2
"5280",1
"6724",2
"73",3
"1601",2
"2104",3
"2996",3
"2894",3
"2248",1
"576",3
"3376",3
"1977",3
"6297",3
"4301",1
"8110",3
"7230",3
"5179",3
"99",2
"6200",3
"6109",2
"1567",2
"7913",3
"1585",2
"2284",3
"4300",2
"2231",1
"6240",2
"821",3
"133",1
"6150",2
"5416",3
"8048",3
"4668",1
"3934",1
"837",3
"6296",3
"7954",3
"5985",3
"2016",3
"2812",2
"3769",2
"6237",3
"2504",3
"589",3
"4415",2
"4744",3
"2366",2
"6847",3
"1222",1
"1459",3
"950",3
"7084",2
"5718",3
"6649",3
"7780",1
"3163",2
"4467",3
"7500",3
"7386",3
"7867",2
"6949",1
"1457",2
"192",1
"2388",3
"153",3
"3686",3
"2789",3
"8181",3
"4804",3
"8095",3
"7140",3
"6505",2
"6934",2
"8085",1
"4045",3
"735",2
"151",3
"1814",3
"5",2
"5685",3
"4326",2
"3306",3
"5393",2
"7717",2
"1570",3
"7912",3
"6667",3
"7389",3
"4307",3
"7216",2
"7408",3
"4240",3
"4441",3
"2359",1
"546",2
"5109",1
"2643",3
"434",3
"1095",3
"4356",2
"7716",1
"544",1
"5457",3
"8063",3
"1874",3
"3494",1
"1835",3
"5534",3
"3467",3
"5036",3
"862",3
"6195",1
"2534",2
"7139",3
"2871",3
"376",3
"2903",3
"6869",1
"4887",3
"4752",3
"3967",3
"931",2
"2363",3
"6815",3
"4925",1
"3747",1
"6353",1
"3143",3
"4856",3
"4819",3
"3996",1
"4969",2
"2890",3
"5021",3
"6043",3
"1986",2
"5656",3
"1042",2
"178",3
"4970",1
"6513",3
"6663",3
"1282",3
"6613",3
"2983",3
"7816",3
"5417",3
"3532",3
"2587",3
"1964",1
"5996",3
"6969",1
"3266",2
"5968",3
"1254",3
"2053",2
"1524",1
"3527",3
"204",2
"5572",3
"7944",3
"3765",3
"225",3
"6856",2
"6522",1
"1166",1
"5354",1
"5053",3
"5885",3
"4751",1
"6763",1
"2389",3
"5943",3
"5138",3
"5304",2
"2889",3
"7921",2
"2436",2
"855",3
"2583",3
"7556",3
"3826",3
"7176",3
"7702",3
"3159",2
"818",3
"3393",1
"864",3
"661",3
"7106",3
"6137",3
"4313",3
"5744",1
"655",3
"6746",3
"2948",3
"3496",1
"390",3
"5160",1
"7526",2
"1945",3
"3011",3
"1479",1
"5307",3
"2592",3
"1565",3
"5408",1
"1266",3
"5368",3
"4187",3
"152",2
"3696",1
"7720",2
"7762",3
"800",2
"7077",3
"3356",2
"2200",3
"694",2
"4796",2
"3748",1
"5761",1
"7376",3
"344",2
"7928",1
"717",3
"2921",3
"4873",2
"621",2
"3229",3
"6911",1
"7961",3
"6790",3
"7563",3
"3595",3
"8001",2
"4861",2
"3514",2
"2521",3
"5934",2
"201",1
"6788",3
"1705",3
"874",3
"272",2
"276",1
"4956",2
"1441",2
"1005",3
"1587",3
"3239",3
"6095",3
"5103",1
"3556",3
"3728",3
"7502",2
"4",3
"518",3
"256",2
"4783",3
"2217",1
"5700",2
"6735",1
"4950",2
"7334",3
"6629",1
"5243",3
"318",3
"4678",3
"5309",3
"3080",2
"5129",1
"4862",3
"1995",3
"6046",1
"6377",3
"6226",1
"3612",1
"5526",1
"5604",1
"2797",2
"6367",3
"7042",3
"7814",3
"1974",2
"2550",3
"1499",2
"3485",2
"3243",2
"5590",3
"2961",3
"319",3
"6902",2
"7949",2
"6970",1
"5116",3
"7125",3
"438",2
"6627",3
"3263",3
"6471",2
"4685",3
"1533",3
"3707",1
"8097",3
"2647",1
"442",1
"4944",2
"3610",3
"4204",1
"5838",3
"1638",2
"315",3
"880",3
"7017",1
"5364",2
"3259",3
"4610",2
"127",1
"1599",2
"3863",2
"7742",3
"1249",3
"5387",3
"5251",3
"4543",2
"1710",2
"4832",2
"6753",3
"3627",2
"5861",1
"1880",3
"5430",3
"7725",2
"474",3
"3562",3
"8082",3
"3880",2
"6636",1
"6719",2
"4167",1
"2188",3
"6044",3
"6116",3
"6845",2
"4525",2
"4771",3
"4236",3
"6347",1
"7385",1
"915",2
"3298",3
"587",1
"6181",3
"4101",3
"5880",3
"4419",3
"3641",3
"7045",2
"4891",3
"3643",3
"4899",3
"50",3
"252",2
"3111",3
"2434",3
"4559",1
"6031",2
"4478",1
"4631",3
"3679",3
"6090",3
"1904",1
"3795",3
"2377",1
"6183",2
"6647",2
"3774",1
"2931",2
"4032",3
"6178",3
"4493",3
"1830",3
"1626",3
"7548",3
"1578",3
"7003",1
"8146",3
"605",3
"2635",1
"1443",2
"2500",2
"1404",1
"7992",3
"6688",3
"3447",1
"1255",3
"6967",3
"3683",3
"2371",3
"4843",3
"7258",2
"618",1
"250",3
"5131",3
"2845",2
"3717",3
"306",2
"2180",2
"3025",1
"1993",3
"3252",1
"6792",3
"5793",1
"3433",3
"1824",1
"332",3
"1785",3
"7199",1
"7245",2
"2943",3
"1233",3
"6648",3
"3483",3
"3732",3
"4383",2
"5070",3
"1403",1
"6521",3
"998",3
"4012",2
"267",3
"47",3
"7212",2
"2277",3
"877",3
"5552",2
"5270",3
"5418",2
"6356",3
"5982",3
"7893",3
"75",3
"8089",3
"8170",3
"966",2
"1125",3
"1439",3
"7032",1
"3903",3
"294",3
"3006",3
"4617",2
"8049",3
"1213",3
"7843",3
"6127",1
"1632",1
"5635",3
"1365",2
"6709",3
"5392",3
"6182",2
"5324",1
"6865",2
"5198",2
"2457",3
"991",3
"1936",2
"5824",2
"6853",2
"608",3
"6424",3
"1970",1
"7705",3
"1568",3
"2027",3
"3436",3
"1224",1
"5290",2
"7614",2
"5821",3
"367",3
"5405",3
"1512",3
"7979",2
"5009",1
"5867",3
"7853",3
"1108",2
"4423",2
"688",3
"2928",1
"5647",3
"5166",3
"7522",3
"2955",2
"974",3
"7684",3
"7953",3
"6612",3
"5183",3
"7490",3
"2969",3
"586",2
"6634",3
"4330",2
"6013",3
"1789",1
"5975",3
"1833",1
"281",3
"3029",3
"489",3
"1529",1
"1714",3
"6337",3
"3597",3
"3802",3
"5973",3
"7349",3
"5335",3
"8108",1
"6744",2
"5564",1
"7308",3
"6384",3
"4264",3
"6543",3
"1510",3
"5216",3
"963",2
"1534",3
"7046",3
"3998",3
"4508",2
"299",3
"4661",1
"5937",3
"6077",1
"4942",2
"361",1
"5404",1
"6784",3
"7899",3
"1431",2
"868",3
"4470",2
"7534",3
"6413",1
"4916",2
"4382",3
"7732",2
"7970",1
"8096",3
"5069",3
"2119",3
"8000",3
"4831",2
"726",3
"2385",2
"7372",1
"4352",2
"4520",3
"2110",3
"5039",1
"8059",3
"7590",1
"8077",1
"187",3
"1187",3
"2225",2
"7437",1
"4515",3
"1834",2
"4237",3
"19",3
"866",1
"6130",1
"5428",3
"5449",1
"2147",3
"3942",3
"3932",3
"3738",3
"6287",3
"3093",3
"4407",3
"4453",3
"207",1
"2223",2
"7448",3
"6641",3
"8186",3
"7550",3
"2689",3
"4368",3
"5577",1
"3432",3
"2011",2
"3231",3
"7430",3
"5993",2
"5439",3
"3085",3
"6898",2
"216",3
"2486",3
"4791",2
"1094",2
"1813",3
"15",3
"951",3
"2596",1
"6875",1
"5959",2
"1975",3
"5474",3
"222",3
"6857",2
"3925",1
"4706",3
"6754",1
"7841",3
"5966",3
"2339",1
"4358",2
"4733",3
"5946",3
"936",3
"2303",1
"2752",1
"7838",1
"8033",1
"4604",1
"6309",2
"8103",1
"5654",3
"6481",3
"532",3
"1901",3
"3186",3
"6811",2
"2713",3
"3502",3
"5822",3
"485",3
"7933",2
"4883",2
"5399",3
"7572",1
"5559",1
"188",1
"5301",2
"7800",3
"4586",3
"4085",3
"1978",3
"1631",3
"440",1
"8106",3
"924",3
"5799",2
"2667",3
"1873",3
"5766",2
"4524",3
"6357",3
"1658",1
"1342",1
"2885",2
"324",3
"1700",3
"140",3
"7999",2
"1948",3
"5477",3
"3232",2
"7513",3
"7109",3
"5054",3
"1415",1
"1826",3
"4821",3
"1406",3
"5731",1
"7542",2
"4280",3
"962",3
"5086",3
"1956",2
"3301",2
"7624",2
"6701",3
"3234",1
"2582",3
"4983",3
"4146",2
"3860",1
"4443",3
"6062",2
"5048",3
"6718",3
"6852",3
"4871",1
"5866",2
"8067",1
"606",2
"2174",3
"3674",2
"2824",3
"6045",1
"7188",3
"5713",3
"2505",2
"6614",3
"6259",3
"89",3
"1146",1
"3287",3
"5446",1
"4134",3
"1066",2
"8070",2
"1893",3
"7884",2
"5852",1
"1034",2
"4405",1
"7632",3
"741",3
"5913",2
"7900",2
"3675",2
"4222",1
"695",3
"5907",2
"7426",3
"6658",3
"6286",2
"7323",3
"2343",3
"1052",1
"5004",1
"808",2
"455",3
"7491",3
"3763",3
"2362",3
"1791",1
"3164",2
"5398",1
"4215",2
"236",2
"7834",2
"3884",2
"6749",3
"1765",3
"6595",1
"6104",3
"4830",3
"2680",3
"7883",3
"1290",3
"3389",3
"5373",2
"457",3
"6304",3
"329",3
"8113",3
"7833",3
"5102",3
"7298",3
"3949",1
"2308",3
"715",3
"8099",2
"6386",3
"6484",3
"4521",3
"697",2
"322",2
"1023",1
"4801",3
"6222",1
"5035",3
"2878",1
"5707",3
"4846",3
"5853",1
"738",3
"2404",3
"6440",2
"1940",3
"7946",2
"4281",3
"4054",2
"2902",2
"6036",1
"5201",1
"2043",3
"6494",3
"6260",2
"5041",2
"2244",3
"7983",3
"2060",3
"3068",2
"2588",2
"4141",3
"3867",1
"8075",1
"1116",1
"762",1
"7995",1
"2575",2
"1335",1
"7359",1
"1195",2
"8091",3
"2443",1
"1682",3
"633",2
"1492",2
"6999",3
"1506",3
"5890",3
"2617",2
"2732",3
"961",3
"7288",2
"5873",2
"3625",3
"4371",2
"6343",3
"4625",3
"2895",3
"4430",3
"591",3
"7229",1
"7285",3
"4852",3
"97",3
"7825",3
"3077",2
"4475",1
"2837",3
"1759",3
"806",1
"3600",3
"1397",2
"7664",2
"2490",2
"2706",3
"17",3
"6736",3
"2649",1
"7916",3
"1673",3
"7157",3
"3261",3
"7842",3
"185",2
"7957",3
"3593",3
"1694",1
"21",3
"782",2
"3201",3
"3845",3
"4378",3
"1267",3
"6273",1
"4238",3
"8065",3
"6329",3
"5150",1
"1769",3
"556",3
"4601",2
"3725",3
"1276",3
"1366",3
"3801",3
"873",3
"4052",3
"4351",2
"1303",3
"783",2
"6393",2
"3573",3
"2250",3
"4692",2
"5645",3
"1655",3
"3368",3
"2428",3
"2790",3
"5837",2
"5545",3
"4914",1
"7974",2
"3533",1
"1899",1
"5042",3
"4623",1
"5376",3
"1377",2
"3397",3
"3434",3
"6867",1
"4989",1
"5302",3
"1043",3
"1771",3
"386",3
"4196",2
"7321",1
"1937",2
"6083",3
"3558",3
"7353",3
"4949",3
"2511",3
"543",1
"4465",3
"7052",3
"1844",3
"3730",3
"6242",2
"6861",2
"4691",2
"7743",3
"2999",3
"8128",2
"2488",3
"406",3
"5346",3
"4420",3
"1548",1
"5091",3
"1455",1
"4460",1
"2240",1
"4152",3
"6933",3
"1197",3
"5032",1
"8134",3
"5360",2
"3487",3
"4594",1
"1890",3
"3392",3
"1820",2
"7429",3
"8144",3
"2348",3
"2573",1
"1167",3
"2302",1
"2656",3
"2971",2
"1334",2
"4518",3
"4263",3
"3517",2
"6364",2
"7866",3
"7653",2
"733",1
"5620",3
"641",1
"1831",3
"7775",3
"2934",3
"5241",3
"2042",2
"5997",2
"3081",1
"1080",3
"4387",2
"513",3
"3244",3
"340",1
"3092",1
"1084",3
"2452",2
"6814",1
"4179",3
"6654",3
"7000",2
"2652",2
"7770",3
"7040",3
"3614",3
"232",2
"7093",3
"4940",2
"8087",3
"2605",2
"7443",3
"7774",3
"5610",3
"7257",2
"6905",3
"3776",3
"4574",3
"846",2
"387",3
"5236",3
"4755",3
"7330",3
"795",3
"6906",2
"5425",3
"8037",2
"7259",3
"1654",3
"2463",3
"1698",3
"117",3
"5905",3
"5139",3
"2820",3
"1902",3
"183",2
"1712",3
"5563",3
"2294",3
"1033",1
"6871",2
"7860",3
"1628",2
"302",3
"6151",3
"8102",3
"7924",3
"8166",3
"8120",2
"1648",2
"4864",2
"1355",3
"6454",1
"6061",3
"2832",3
"4325",2
"4906",3
"8010",3
"5294",3
"3431",2
"6201",3
"1174",2
"6080",3
"982",3
"409",3
"6376",3
"2785",1
"572",1
"1935",3
"4046",3
"2252",3
"8142",3
"1078",2
"1307",3
"5774",2
"7639",2
"1159",3
"239",3
"7879",3
"351",1
"5342",3
"6593",3
"3490",3
"6637",3
"1793",1
"5411",3
"6725",3
"4098",1
"1561",1
"640",3
"6148",3
"6102",2
"5891",1
"7821",1
"7505",3
"6602",3
"2631",2
"833",3
"8040",3
"3486",3
"6030",1
"6034",2
"6199",3
"2399",3
"2661",1
"6583",3
"7765",1
"2479",3
"6885",3
"7441",3
"1369",3
"6541",3
"7810",1
"3337",3
"6863",3
"2219",3
"2088",1
"3606",3
"7993",2
"5581",1
"1283",3
"6412",2
"5694",3
"2831",3
"2179",3
"777",3
"6224",3
"3390",2
"5088",3
"1241",3
"6758",3
"3653",3
"3425",3
"4480",1
"7296",3
"2836",2
"6157",3
"3525",2
"4998",1
"7951",2
"3149",3
"4746",3
"3985",3
"7107",3
"3329",1
"2300",3
"5796",3
"7213",2
"6115",3
"1709",1
"2937",3
"4173",3
"8179",1
"1320",1
"1676",3
"3661",3
"1387",3
"3648",3
"2293",1
"4551",3
"5218",1
"2409",3
"445",3
"5826",3
"3875",3
"6340",3
"4323",2
"1530",3
"6575",3
"843",3
"3916",3
"37",3
"537",3
"6372",3
"4656",3
"3010",2
"1610",3
"2864",3
"5874",2
"686",3
"6661",3
"8093",2
"1961",3
"5743",3
"4234",3
"6781",3
"2313",3
"5092",2
"6239",1
"3690",1
"6314",3
"7536",3
"5447",2
"4729",1
"1028",1
"6108",3
"708",3
"2932",2
"77",1
"4953",3
"6931",2
"6404",3
"1853",3
"3488",3
"6524",1
"56",3
"4602",3
"1253",1
"5952",3
"3919",2
"3602",3
"1137",3
"8188",3
"1885",3
"1364",1
"995",1
"6418",2
"5130",1
"3862",2
"6800",1
"4583",3
"7044",2
"1382",3
"2530",3
"6186",3
"4400",3
"2898",2
"2545",1
"7002",3
"7467",1
"6997",3
"4556",2
"568",3
"5588",3
"5958",3
"3249",3
"2953",3
"3076",3
"7906",2
"4973",1
"7406",1
"942",3
"3172",3
"8008",1
"5223",1
"6868",3
"3096",3
"1349",2
"2162",1
"1413",3
"2539",3
"6624",3
"7244",1
"767",3
"4557",1
"6276",3
"5626",2
"2476",3
"1196",3
"450",3
"470",1
"5630",2
"5733",1
"1647",3
"4911",2
"6019",1
"7227",3
"8014",1
"5250",2
"7941",1
"5350",1
"7001",2
"6912",3
"5492",2
"6731",1
"710",3
"18",3
"7193",3
"1391",3
"1731",3
"3019",3
"6316",3
"2766",3
"3045",1
"7901",1
"465",1
"2893",1
"4900",3
"6899",2
"1229",3
"3710",3
"4719",3
"6191",2
"2826",3
"7956",1
"7682",3
"535",2
"2193",3
"4183",3
"7756",1
"4206",2
"2288",1
"5839",3
"4039",3
"7299",3
"3478",3
"1304",3
"3291",2
"4228",1
"478",3
"1619",1
"4837",3
"4711",1
"2249",3
"5634",2
"3020",3
"3671",3
"5244",3
"2305",3
"578",3
"4138",3
"6897",3
"1711",1
"8079",1
"7053",3
"1527",3
"7452",3
"7514",2
"1175",3
"1251",1
"1257",3
"7004",1
"4208",2
"3030",1
"1538",2
"2494",3
"5764",1
"7039",3
"2877",3
"4412",1
"3448",2
"6189",2
"7219",3
"3667",3
"2772",1
"2412",3
"5101",1
"7659",3
"6977",1
"977",3
"6888",3
"4096",3
"2577",2
"4299",3
"2365",1
"5683",3
"6675",3
"59",3
"5282",3
"3452",2
"5144",1
"6447",3
"5515",3
"5262",2
"5709",2
"2913",3
"5175",3
"4612",3
"5705",3
"7848",1
"1903",3
"3103",3
"585",3
"7060",1
"3561",3
"3905",1
"181",3
"5196",2
"2580",2
"6651",3
"5500",3
"5353",2
"2862",3
"5348",2
"3017",2
"2340",3
"3731",3
"6909",3
"7395",1
"6561",3
"6094",3
"960",3
"7712",2
"5481",3
"2426",2
"1928",3
"4928",3
"2778",3
"6274",2
"7489",3
"7156",2
"8152",2
"266",3
"3999",2
"5420",3
"274",3
"5783",3
"7686",3
"4243",3
"3871",2
"1087",2
"6258",3
"925",3
"7667",1
"3400",1
"2625",3
"5691",1
"1422",1
"6964",2
"1313",3
"2233",2
"1258",1
"3711",2
"6975",2
"2528",1
"3309",3
"1612",3
"3883",3
"6666",3
"72",1
"258",3
"7398",1
"8185",2
"6768",3
"5438",2
"5314",3
"616",3
"2210",2
"1572",1
"4191",3
"7092",2
"7511",3
"7698",1
"1780",3
"3460",2
"6396",1
"29",3
"7269",1
"1912",1
"4386",2
"1559",2
"937",3
"3566",2
"2189",2
"6122",1
"5828",3
"7759",3
"2338",2
"2992",3
"6958",3
"385",3
"6345",3
"6278",3
"7651",3
"5710",2
"6943",3
"3125",3
"113",3
"5969",3
"3825",3
"5695",2
"1354",3
"3454",3
"5002",2
"2491",3
"2237",1
"1128",3
"519",3
"7261",2
"5573",3
"2896",3
"4273",3
"4452",2
"3155",2
"6580",3
"7878",3
"803",3
"4105",3
"1240",3
"7950",3
"2070",3
"5863",3
"6099",3
"3978",3
"1273",1
"3158",2
"4657",1
"4004",3
"2352",1
"3751",3
"2882",1
"4005",2
"7147",3
"2933",3
"4287",3
"4241",2
"7931",3
"3927",3
"1679",2
"2202",2
"912",2
"6429",3
"3470",3
"3210",2
"7829",1
"5127",1
"7955",3
"3834",3
"4748",3
"630",3
"1221",3
"3314",1
"10",2
"1006",1
"4936",3
"2264",3
"1702",3
"4454",1
"8149",3
"3515",3
"8157",3
"4572",3
"617",3
"6168",1
"2391",3
"7517",2
"5072",1
"333",1
"6535",3
"7666",2
"6922",3
"2199",3
"3554",3
"5600",1
"4571",2
"2891",3
"447",2
"1821",2
"100",3
"1217",3
"4180",3
"1689",3
"6147",2
"2519",1
"8195",1
"3853",3
"5462",2
"508",2
"6882",3
"6734",2
"191",2
"3083",3
"7482",1
"2044",2
"592",2
"6901",1
"6635",3
"2839",2
"2051",1
"4607",3
"6065",3
"5176",2
"763",3
"5607",3
"1616",2
"6338",3
"4866",3
"6220",1
"5122",3
"5085",1
"4988",2
"4963",3
"3948",3
"2102",3
"8167",1
"8104",3
"2154",1
"5627",3
"1730",1
"3056",3
"6281",3
"4522",3
"5967",1
"2637",3
"2258",3
"4638",3
"764",3
"6849",3
"2107",3
"3465",3
"5583",3
"7185",3
"5687",3
"5389",3
"6402",2
"4091",3
"3183",1
"1440",2
"3752",3
"313",3
"3031",3
"1176",3
"7149",3
"7730",1
"5094",2
"2212",3
"2050",3
"5732",3
"3649",3
"1448",3
"7818",3
"2554",3
"5010",2
"4693",3
"2552",1
"1575",2
"7630",1
"124",3
"301",3
"2555",2
"8045",2
"3459",3
"5187",3
"2809",3
"6767",2
"7130",3
"5917",3
"863",3
"911",3
"6502",1
"908",1
"2204",3
"3282",3
"3987",3
"3417",3
"5066",3
"8028",3
"871",3
"5248",1
"338",3
"3124",3
"6974",1
"3879",2
"1209",3
"1657",1
"6640",3
"5787",3
"5742",2
"246",1
"214",3
"4892",3
"1662",3
"2183",3
"5230",1
"2267",2
"1693",1
"2912",2
"5615",1
"3958",3
"6064",2
"5222",1
"326",3
"2329",1
"7024",3
"114",3
"4865",1
"3446",3
"2973",3
"6022",2
"2361",1
"2623",2
"6425",1
"4487",1
"3440",2
"1192",3
"1",3
"2993",2
"753",1
"7217",3
"7990",3
"3777",2
"7914",1
"2781",3
"7181",2
"4863",3
"2172",3
"3701",3
"2344",2
"1103",3
"3654",3
"1652",3
"3325",3
"4637",3
"5141",2
"1476",1
"6584",3
"2269",2
"4844",2
"1562",3
"3044",3
"5730",1
"3937",3
"4823",3
"2378",3
"4483",1
"2744",3
"1231",3
"6446",2
"551",3
"3516",1
"5592",1
"4836",3
"3344",2
"2382",2
"743",3
"6908",3
"6371",3
"721",3
"7740",1
"3837",3
"3028",3
"2567",3
"3352",3
"3669",3
"1343",2
"7460",3
"7796",2
"4905",2
"2337",1
"4930",3
"5576",3
"279",3
"2683",3
"4136",3
"8012",3
"5884",2
"857",3
"7049",2
"3697",2
"164",1
"1973",1
"4550",2
"60",3
"6918",2
"5296",1
"2782",1
"5806",3
"4440",3
"5887",2
"6431",3
"1215",2
"4154",3
"6653",3
"1703",2
"1122",3
"282",3
"6713",3
"210",2
"6474",1
"3372",2
"6048",1
"2390",3
"1489",2
"2444",2
"3952",3
"4003",3
"4049",3
"5922",2
"4097",1
"3207",3
"7535",1
"2761",3
"4162",1
"3178",2
"8158",3
"287",1
"6008",3
"496",3
"3529",3
"6029",2
"4762",1
"3265",3
"5772",2
"5998",3
"752",2
"895",3
"6680",3
"7587",1
"6403",1
"494",3
"499",3
"3217",3
"2021",2
"7498",2
"2906",2
"397",1
"2441",3
"1590",3
"983",1
"3984",2
"5485",2
"2634",2
"872",3
"4055",3
"420",3
"6838",3
"5453",1
"6441",3
"6642",2
"2485",1
"2850",3
"3761",1
"1472",3
"6466",3
"371",3
"5931",3
"2083",3
"4272",2
"6323",3
"6268",3
"802",1
"2173",3
"3920",3
"249",2
"3082",3
"6738",3
"1908",3
"1588",1
"268",2
"6212",3
"8042",3
"5514",3
"5359",2
"7613",3
"4308",3
"524",2
"2003",2
"5940",1
"6879",3
"6995",2
"3008",3
"407",3
"6705",2
"4140",1
"8043",3
"5497",3
"6959",3
"5264",1
"4915",3
"2368",2
"7459",2
"1138",2
"3786",3
"2513",3
"3994",3
"5258",3
"5448",2
"4877",1
"4151",3
"3639",3
"3939",1
"1093",3
"1461",3
"737",3
"5255",3
"6587",1
"4349",3
"4166",3
"4595",3
"149",3
"2681",3
"6463",2
"2879",3
"757",1
"3570",3
"2607",3
"2263",1
"1239",1
"599",1
"3310",1
"2140",3
"6265",3
"2551",1
"7324",3
"7355",3
"965",3
"7594",2
"3778",1
"2194",3
"3180",1
"3074",3
"7680",3
"3206",3
"5879",3
"3455",2
"7733",3
"2106",2
"4099",3
"5110",3
"8030",2
"5024",3
"4643",1
"5624",2
"7980",3
"1099",3
"5711",3
"5972",1
"4203",3
"7908",3
"182",3
"6167",2
"992",1
"1278",3
"3618",2
"1794",3
"1571",2
"4071",3
"3345",3
"7967",3
"4639",1
"794",3
"7828",3
"7305",3
"7898",3
"594",3
"1123",3
"7861",3
"7544",3
"2692",3
"1135",3
"4417",3
"2145",1
"7401",3
"4145",3
"7201",3
"3395",3
"6992",2
"247",3
"8072",1
"698",3
"882",3
"4697",2
"3131",3
"1244",3
"1035",2
"4224",2
"6835",3
"8163",2
"7062",3
"5511",3
"7122",1
"4671",3
"335",3
"7454",2
"954",1
"901",2
"4754",3
"7118",1
"7232",3
"6054",3
"6111",3
"6946",3
"5111",2
"4282",3
"6569",2
"289",1
"1381",3
"7421",3
"7369",3
"1969",3
"2693",3
"4459",3
"805",3
"1305",3
"7128",2
"1129",3
"177",3
"7647",1
"5271",1
"218",3
"7540",3
"1154",3
"7806",2
"772",1
"5504",3
"4038",2
"8003",1
"5220",3
"6695",3
"3521",3
"768",1
"2471",3
"1620",2
"208",1
"4242",3
"5908",2
"6563",3
"3095",2
"3577",3
"6321",1
"6475",2
"7574",3
"269",3
"5371",2
"7447",3
"1560",3
"7136",1
"3811",3
"370",1
"3702",3
"1058",3
"4964",3
"1994",3
"413",1
"2571",3
"4087",3
"4907",2
"476",3
"278",3
"3682",3
"5502",3
"3367",3
"3084",3
"771",1
"2149",3
"1691",2
"1735",1
"7547",1
"1951",3
"7567",3
"284",3
"1856",3
"5941",1
"1227",2
"5331",3
"6249",3
"7105",3
"3318",3
"3781",1
"184",2
"1013",1
"4089",3
"7237",3
"692",3
"5906",2
"2121",3
"362",3
"6184",3
"4209",1
"5356",3
"2507",1
"412",1
"3090",2
"1256",3
"2400",1
"7162",3
"2324",2
"5983",3
"4743",1
"973",2
"822",2
"2726",3
"3873",3
"2281",3
"8017",3
"2884",1
"3042",3
"6771",2
"945",3
"2353",2
"4792",3
"4818",3
"6262",3
"6282",3
"20",3
